DateTime,Stage
2010-07-27,7.59
2011-07-28,7.68
2012-08-27,7.34
2013-08-18,7.59
2014-07-28,7.68
2015-08-24,7.42
2016-09-30,7.69
2017-09-30,7.08
2017-11-15,7.84
2018-04-27,7.92
2018-05-11,7.97
2018-05-18,7.95
2018-05-22,7.996
2018-05-24,7.967483
2018-05-25,7.964435
2018-05-26,7.961387
2018-05-27,7.955291
2018-05-28,7.955291
2018-05-29,7.955291
2018-05-30,7.958339
2018-05-31,7.961387
2018-06-01,7.958339
2018-06-02,7.952243
2018-06-03,7.949195
2018-06-04,7.940051
2018-06-05,7.940051
2018-06-06,7.937003
2018-06-07,7.930907
2018-06-08,7.924811
2018-06-09,7.921763
2018-06-10,7.915667
2018-06-11,7.912619
2018-06-12,7.906523
2018-06-13,7.903475
2018-06-14,7.897379
2018-06-15,7.906523
2018-06-16,7.909571
2018-06-17,7.909571
2018-06-18,7.961387
2018-06-19,7.967483
2018-06-20,7.964435
2018-06-21,7.961387
2018-06-22,7.955291
2018-06-23,7.952243
2018-06-24,7.946147
2018-06-25,7.940051
2018-06-26,7.937003
2018-06-27,7.933955
2018-06-28,7.930907
2018-06-29,7.927859
2018-06-30,7.924811
2018-07-01,7.921763
2018-07-02,7.912619
2018-07-03,7.906523
2018-07-04,7.900427
2018-07-05,7.897379
2018-07-06,7.888235
2018-07-07,7.879091
2018-07-08,7.872995
2018-07-09,7.866899
2018-07-10,7.860803
2018-07-11,7.854707
2018-07-12,7.851659
2018-07-13,7.854707
2018-07-14,7.860803
2018-07-15,7.857755
2018-07-16,7.851659
2018-07-17,7.842515
2018-07-18,7.836419
2018-07-19,7.833371
2018-07-20,7.848611
2018-07-21,7.872995
2018-07-22,7.866899
2018-07-23,7.863851
2018-07-24,7.857755
2018-07-25,7.854707
2018-07-26,7.872995
2018-07-27,7.863851
2018-07-28,7.857755
2018-07-29,7.854707
2018-07-30,7.860803
2018-07-31,7.869947
2018-08-01,7.866899
2018-08-02,7.872995
2018-08-03,7.866899
2018-08-04,7.863851
2018-08-05,7.860803
2018-08-06,7.860803
2018-08-07,7.857755
2018-08-08,7.854707
2018-08-09,7.848611
2018-08-10,7.845563
2018-08-11,7.842515
2018-08-12,7.839467
2018-08-13,7.833371
2018-08-14,7.830323
2018-08-15,7.827275
2018-08-16,7.824227
2018-08-17,7.824227
2018-08-18,7.824227
2018-08-19,7.821179
2018-08-20,7.821179
2018-08-21,7.839467
2018-08-22,7.833371
2018-08-23,7.827275
2018-08-24,7.824227
2018-08-25,7.824227
2018-08-26,7.830323
2018-08-27,7.860803
2018-08-28,7.949195
2018-08-29,7.967483
2018-08-30,7.961387
2018-08-31,7.955291
2018-09-01,7.952243
2018-09-02,7.958339
2018-09-03,7.967483
2018-09-04,8.034539
2018-09-05,8.052827
2018-09-06,8.049779
2018-09-07,8.043683
2018-09-08,8.034539
2018-09-09,8.028443
2018-09-10,8.022347
2018-09-11,8.019299
2018-09-12,8.016251
2018-09-13,8.013203
2018-09-14,8.010155
2018-09-15,8.007107
2018-09-16,8.004059
2018-09-17,8.004059
2018-09-18,8.010155
2018-09-19,8.013203
2018-09-20,8.025395
2018-09-21,8.043683
2018-09-22,8.034539
2018-09-23,8.031491
2018-09-24,8.028443
2018-09-25,8.031491
2018-09-26,8.037587
2018-09-27,8.031491
2018-09-28,8.025395
2018-09-29,8.019299
2018-09-30,8.019299
2018-10-01,8.025395
2018-10-02,8.037587
2018-10-03,8.040635
2018-10-04,8.049779
2018-10-05,8.049779
2018-10-06,8.049779
2018-10-07,8.046731
2018-10-08,8.074163
